timestamp,time_bucket_5min,link_id,road_name,road_category,speed_band,min_speed,max_speed
2026-09-14_21-25-12,2026-09-14_21-25-00,214404,WOODLANDS CAUSEWAY,2,6,50,59
2026-09-14_21-25-12,2026-09-14_21-25-00,214458,WOODLANDS CAUSEWAY,2,5,40,49
2026-09-14_21-25-12,2026-09-14_21-25-00,214552,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-25-12,2026-09-14_21-25-00,214578,WOODLANDS CAUSEWAY,2,3,20,29
2026-09-14_21-25-12,2026-09-14_21-25-00,214612,WOODLANDS CAUSEWAY,2,3,20,29
2026-09-14_21-25-12,2026-09-14_21-25-00,214616,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-25-12,2026-09-14_21-25-00,214625,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-25-12,2026-09-14_21-25-00,215161,WOODLANDS CAUSEWAY,2,6,50,59
2026-09-14_21-25-12,2026-09-14_21-25-00,215163,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-27-53,2026-09-14_21-25-00,214404,WOODLANDS CAUSEWAY,2,6,50,59
2026-09-14_21-27-53,2026-09-14_21-25-00,214458,WOODLANDS CAUSEWAY,2,5,40,49
2026-09-14_21-27-53,2026-09-14_21-25-00,214552,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-27-53,2026-09-14_21-25-00,214578,WOODLANDS CAUSEWAY,2,3,20,29
2026-09-14_21-27-53,2026-09-14_21-25-00,214612,WOODLANDS CAUSEWAY,2,3,20,29
2026-09-14_21-27-53,2026-09-14_21-25-00,214616,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-27-53,2026-09-14_21-25-00,214625,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-27-53,2026-09-14_21-25-00,215161,WOODLANDS CAUSEWAY,2,6,50,59
2026-09-14_21-27-53,2026-09-14_21-25-00,215163,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-30-27,2026-09-14_21-30-00,214404,WOODLANDS CAUSEWAY,2,7,60,69
2026-09-14_21-30-27,2026-09-14_21-30-00,214458,WOODLANDS CAUSEWAY,2,6,50,59
2026-09-14_21-30-27,2026-09-14_21-30-00,214552,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-30-27,2026-09-14_21-30-00,214578,WOODLANDS CAUSEWAY,2,4,30,39
2026-09-14_21-30-27,2026-09-14_21-30-00,214612,WOODLANDS CAUSEWAY,2,3,20,29
2026-09-14_21-30-27,2026-09-14_21-30-00,214616,WOODLANDS CAUSEWAY,2,3,20,29
2026-09-14_21-30-27,2026-09-14_21-30-00,214625,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_21-30-27,2026-09-14_21-30-00,215161,WOODLANDS CAUSEWAY,2,7,60,69
2026-09-14_21-30-27,2026-09-14_21-30-00,215163,WOODLANDS CAUSEWAY,2,2,10,19
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25038,TUAS AVENUE 8,4,5,40,49,1.332288,103.652248,1.331919,103.651887
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25041,TUAS AVENUE 8,4,2,10,19,1.325418,103.645713,1.325572,103.64586
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25042,TUAS AVENUE 8,4,2,10,19,1.325544,103.645895,1.325384,103.645746
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25072,TUAS AVENUE 8,4,2,10,19,1.325881,103.646215,1.325796,103.646134
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25077,TUAS AVENUE 8,4,3,20,29,1.32583,103.646099,1.325913,103.646176
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25078,TUAS AVENUE 8,4,6,50,59,1.32772,103.647942,1.327573,103.647805
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25079,TUAS AVENUE 8,4,4,30,39,1.327605,103.647773,1.32775,103.647911
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25080,TUAS AVENUE 8,4,6,50,59,1.327407,103.647645,1.327255,103.647502
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25085,TUAS AVENUE 8,4,2,10,19,1.331103,103.651056,1.331136,103.651092
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25220,TUAS AVENUE 8,4,2,10,19,1.324686,103.645051,1.324851,103.645181
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25223,TUAS AVENUE 8,6,2,10,19,1.332731,103.652594,1.332952,103.652648
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25224,TUAS AVENUE 8,4,6,50,59,1.331919,103.651887,1.331902,103.651813
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25331,TUAS AVENUE 8,4,1,0,9,1.330763,103.650801,1.330757,103.650733
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25421,TUAS AVENUE 8,4,4,30,39,1.327285,103.647469,1.327437,103.647612
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25433,TUAS AVENUE 8,4,2,10,19,1.325913,103.646176,1.326357,103.646587
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25475,TUAS AVENUE 8,4,3,20,29,1.328069,103.648207,1.328232,103.648363
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25477,TUAS AVENUE 8,4,6,50,59,1.327882,103.648097,1.32772,103.647942
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25478,TUAS AVENUE 8,4,1,0,9,1.328232,103.648363,1.328387,103.648506
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25479,TUAS AVENUE 8,4,3,20,29,1.325796,103.646134,1.325544,103.645895
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25480,TUAS AVENUE 8,4,4,30,39,1.327437,103.647612,1.327605,103.647773
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25481,TUAS AVENUE 8,4,6,50,59,1.328202,103.648394,1.328038,103.648242
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25483,TUAS AVENUE 8,4,2,10,19,1.326359,103.64666,1.326319,103.64663
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25487,TUAS AVENUE 8,4,6,50,59,1.330763,103.650801,1.33064,103.650684
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25489,TUAS AVENUE 8,4,5,40,49,1.330167,103.650241,1.330102,103.650178
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25490,TUAS AVENUE 8,4,1,0,9,1.329418,103.649474,1.329494,103.649548
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25491,TUAS AVENUE 8,4,5,40,49,1.329462,103.649579,1.329387,103.649507
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25495,TUAS AVENUE 8,4,5,40,49,1.330102,103.650178,1.330015,103.650099
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25496,TUAS AVENUE 8,4,1,0,9,1.326357,103.646587,1.326394,103.646631
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25513,TUAS AVENUE 8,4,5,40,49,1.330015,103.650099,1.329891,103.649981
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25516,TUAS AVENUE 8,4,6,50,59,1.328038,103.648242,1.327882,103.648097
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25530,TUAS AVENUE 8,4,6,50,59,1.330476,103.650531,1.330328,103.650391
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25617,TUAS AVENUE 8,4,1,0,9,1.327407,103.647645,1.327437,103.647612
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25618,TUAS AVENUE 8,4,1,0,9,1.327437,103.647612,1.327407,103.647645
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25619,TUAS AVENUE 8,4,1,0,9,1.327285,103.647469,1.327255,103.647502
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25629,TUAS AVENUE 8,4,3,20,29,1.325572,103.64586,1.32583,103.646099
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25635,TUAS AVENUE 8,4,1,0,9,1.32772,103.647942,1.32775,103.647911
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25644,TUAS AVENUE 8,4,3,20,29,1.329921,103.649949,1.330048,103.650068
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25707,TUAS AVENUE 8,4,2,10,19,1.32669,103.646972,1.326359,103.64666
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25737,TUAS AVENUE 8,4,2,10,19,1.327882,103.648097,1.327916,103.648065
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25840,TUAS AVENUE 8,4,2,10,19,1.327573,103.647805,1.327605,103.647773
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25853,TUAS AVENUE 8,4,2,10,19,1.326959,103.647224,1.326991,103.647194
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25855,TUAS AVENUE 8,4,2,10,19,1.326991,103.647194,1.326959,103.647224
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25871,TUAS AVENUE 8,4,1,0,9,1.325418,103.645713,1.325384,103.645746
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25899,TUAS AVENUE 8,4,2,10,19,1.328709,103.648807,1.328755,103.648848
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25915,TUAS AVENUE 8,4,2,10,19,1.328722,103.648883,1.328679,103.648843
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25983,TUAS AVENUE 8,4,1,0,9,1.327605,103.647773,1.327573,103.647805
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25984,TUAS AVENUE 8,4,2,10,19,1.328069,103.648207,1.328038,103.648242
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25997,TUAS AVENUE 8,4,1,0,9,1.329731,103.64977,1.3297,103.649799
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,25999,TUAS AVENUE 8,4,1,0,9,1.329494,103.649548,1.329462,103.649579
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26000,TUAS AVENUE 8,4,1,0,9,1.329462,103.649579,1.329494,103.649548
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26001,TUAS AVENUE 8,4,2,10,19,1.33013,103.650146,1.330102,103.650178
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26010,TUAS AVENUE 8,4,2,10,19,1.327916,103.648065,1.327882,103.648097
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26026,TUAS AVENUE 8,4,2,10,19,1.328232,103.648363,1.328202,103.648394
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26112,TUAS AVENUE 8,4,1,0,9,1.329804,103.649899,1.329833,103.649867
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26114,TUAS AVENUE 8,4,1,0,9,1.329833,103.649867,1.329804,103.649899
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26115,TUAS AVENUE 8,4,1,0,9,1.329181,103.649253,1.329149,103.649286
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26156,TUAS AVENUE 8,4,1,0,9,1.328837,103.64899,1.328871,103.64896
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26160,TUAS AVENUE 8,4,1,0,9,1.329387,103.649507,1.329418,103.649474
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26162,TUAS AVENUE 8,4,1,0,9,1.329418,103.649474,1.329387,103.649507
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26163,TUAS AVENUE 8,4,1,0,9,1.330476,103.650531,1.330505,103.650497
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26170,TUAS AVENUE 8,4,1,0,9,1.330672,103.650652,1.33064,103.650684
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26171,TUAS AVENUE 8,4,1,0,9,1.33036,103.650361,1.330328,103.650391
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26173,TUAS AVENUE 8,4,2,10,19,1.330328,103.650391,1.33036,103.650361
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26248,TUAS AVENUE 8,4,2,10,19,1.325384,103.645746,1.325418,103.645713
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26290,TUAS AVENUE 8,4,3,20,29,1.328553,103.64866,1.328709,103.648807
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26295,TUAS AVENUE 8,4,2,10,19,1.330757,103.650733,1.331103,103.651056
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26298,TUAS AVENUE 8,4,6,50,59,1.328357,103.64854,1.328202,103.648394
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26322,TUAS AVENUE 8,4,1,0,9,1.328202,103.648394,1.328232,103.648363
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26339,TUAS AVENUE 8,4,3,20,29,1.329731,103.64977,1.329833,103.649867
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26346,TUAS AVENUE 8,4,5,40,49,1.326959,103.647224,1.32669,103.646972
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26347,TUAS AVENUE 8,4,4,30,39,1.326721,103.646941,1.326991,103.647194
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26468,TUAS AVENUE 8,4,2,10,19,1.325384,103.645746,1.324809,103.6452
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26654,TUAS AVENUE 8,4,2,10,19,1.325796,103.646134,1.32583,103.646099
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26655,TUAS AVENUE 8,4,1,0,9,1.32583,103.646099,1.325796,103.646134
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26674,TUAS AVENUE 8,4,4,30,39,1.329097,103.649173,1.329181,103.649253
2026-09-14_22-05-14,2026-09-14_22-05-00,4712,26754,TUAS AVENUE 8,4,3,20,29,1.33107,103.65109,1.330763,103.650801
